,user,txt
15,K1Q4aGF0eUQ2eDJzU24wc2E0aXBUZz09,성분도 좋고 저렴해서 데일리로 바르기 너무 좋아요 제품 엄청 순하고 매일 쓰기 가격도 부담없어서 넘 좋어용
16,K1QwSSs1WkNxbW80T2R2VTljcFFVUT09,신제품이라고 나온줄 알았는데 아닌가보네요 왜 패키지가 바뀌었을까요
17,K1ZQaitEcUFxdHFtaWU0VHBZbHRKUT09,믿고쓰는 넘버즈인 넘버즈인 스킨 종류는 다 써봤지만 새로운거라 사봄
18,K1dSQTlGNzVlSWZzWU5iN1ZnOVlBQT09,올리브영은 기획상품이 많아서 정말 좋네요 요즘 트러블때문에 여드름용제품으로 클렌저도 로션도 필요하던참에 요제품이 보여서 바로 구매했네요 포맨제품까지 따로 있는줄 몰랐는데 잘쓸게요마침 토너도 필요했는데 구성품으로 스킨이 붙어있어서 작은사이즈로 아크네스스킨까지 사용해볼수있어서 좋았어요 갑자기 트러블이 나서 너무 속상했는데 아크네스제품으로 클렌저 토너 로션 크림패치까지 구매해서 빠른 관리 해줬더니 금방 좋아졌어요 아크네스짱여자지만 아크네스 토너가 매장에 이거밖에 없어서 구매했어요 피부진정 잘되고 촉촉해요 트러블 났을때 사용하면 좋을것 같아요
19,K1dlSFNGZS82UHdXYVpyZVVocHNTZz09,유명 유튜버가 적극 추천해서 사본 브랜드인데 일단 저는 복합성에 갑자기 여드름이 나서 진정용으로 사보았어요 결론부터 말씀 드리면 반절 정도 썼는데 특별한 효과는 전혀 못느꼈던거 같아요 그대신 순하기 때문에 따갑다거나 더 피부가 안좋아지는 건 아니고 그냥 효과가 없었어요 분명 잘맞는 분들도 있을거라 생각하긴 하는데 여기서 산 팩도 딱히 진정효과를 못봐서 아쉽네요 혹시 복합성이시고 이 제품으로 효과를 못보셨다면 아이소이 아크니 닥터 추천드릴게요 진짜 효과 좋음
20,K1hvS3ZEVmRmOUVYdlo3UEdBamcvZz09,로션 하나로 기미 잡티 미백관리 수분충전 탄력까지 놓치는것 없이 꽉꽉 채워주는 제품이네요 끈적임없고 뻑뻑하지 않으면서 부드럽게 발려요 자극적이지 않고 순해요 이거 한가지로 정착할거에요 리필까지 있어서 오래쓸듯 합니다 지복합성에 트러블이 있는 피부라서 자극없이 순한 제품만 쓰는데 잘 맞는것 같아요 벌써 두통째입니당 붉은기가 올라올것 같을때 화장솜에 적셔서 진정될때까지 올려두면 편안해지더라구요 지 복합성 민감성 피부라서 성분을 중요하게 생각해요 천연성분으로 좋은것만 담아서 믿고 사용해요 피부가 너무 예민해서 조금만 자극적이어도 붉은기에 따가워 하는데 이제품은 피부가 편해져요 요즘들어 부쩍 피부에 관심이 많아진 남자친구에게 선물해주려고 주문했어요 아무래도 남자보다 여자가 화장품에 대해 꼼꼼하게 알아보는것 같아 직접 성분비교해보면서 골랐어요 이것저것 순서대로 바르는걸 못하는 남자친구라서 모공케어와 수분 미백 주름까지 한번에 관리할 수 있는 제품이라 딱이더라구요 남자친구도 너무 좋아해요
21,K1o5aWZIejJWaHYzdFRyL3k1bGh1QT09,닦토 찹토 토너팩 등 정말 다양하게 쓰기 좋아요 몇번이나 재구매중 진정에 좋고 정말 어떤 피부타입이든 다 잘 맞을듯순하고 진정잘 되는 토너입니다 너무좋어요 수분팩으로 화장솜에 묻혀서 해주기도 좋고 그냥 닦토 찹토 모두 잘먹어요
22,K20wRk4zNTRtV0ZTenkzQ2pSTFYvZz09,우앙 진짜 건성이 쓰기에 너무 촉촉하고 화장도 진짜 잘목어요 제인생로셩
23,K25GcVJVbVlTbUdDNWRCQks5RFNCZz09,남편이 사용하고 있는제품이에요 무겁고 독한 스킨냄새는 제가 싫어하는데 이 제품은 은은해서 남편이 로션 바르고 옆에 지나가면 좋은 향이 느껴지더라구요 그래서 저도 만족이에요 제형은 약간 묽은편인데 흡수 잘된다고 좋대요
24,K2J5ekJJRDZQUUc0RlcyWWxhMEtwQT09,민감성이라 기능없이 그냥 정리용도로 사용중 아무런 기능이 없어소 좋아요 싼맛에 쓰기도 좋구요
25,K2JOeE1PU1I1TXVHaTZwVTNEUTNvZz09,대딩 고딩 딸아이 둘이 쓰기 용량도 품질도 순하고 좋습니다
26,K2RBL3JlemVkMkc1ZXBUZ2Vock5KQT09,너무 편한게 좋아요 근데 알콜향이 좀 남 그래도 안끈적해서 좋음
27,K2RFeGE3Q3BNY0c2dTgzayt2Zklidz09,아버지가 쓰시는 제품인데 촉촉하고 자극 적어서 쭉 쓰고 계시대요
28,K2RTaTdMSFhwVlBBQ2FUUC82VnRnUT09,자극이 아예 없는 것 같진 않지만 올인원이라 아주아주 편하고 좋습니다
29,K2lvOVQ1SmZxdUx1V294dUQzejVPUT09,촉촉하고 좋아요 건조해지는 계절이면 토너가 필요해서 항상 이제품 구매합니다 세안 후 바로 발라도 좋고 솜에 묻혀 닦아내듯 사용해도 좋아요 급할땐 클렌징으로도 사용하는데 좋습니다 잡티세럼이랑 같이써요 저녁에 바르고 자면 아침에 좀 뭔가 나아보이기도 하고 여름엔 같이 바르니까 덥네요 저는 잡티세럼보다는 나은것 같아요
30,K2o2SmJKU2dqcWdOVDJmcktNV1c2dz09,이거 몬가요 양도 많아서 써도써도 줄질 않습니다 아주 만족스럽습니다 쓰고 피부에 한 번도 트러블 안 남
31,K2t3RFk0czVaVmZkWUdhSlcrZVhzQT09,즉각적인 효능은 잘 느낄 수 없지만 플라시보는 있습니다 그정도면 만족해요
32,K2tTcVVNRFpicEl1cnRiTWRRSTg4QT09,피부 타입은 지성인데 화장 전이나 피부결이 너무 거칠 때 미백 관리할 때 등 자주 사용하고 있는데 자극적이지 않고 향도 무난한 꽃향이 나고 끈적이지 않고 흡수력도 좋아서 산뜻해서 만족 중입니다 물토너보다는 앰플같은데 그렇다고 무겁지도 않아서 제 피부 타입에는 너무 좋은 것 같아요 사계절 사용하기 좋은데 여름에는 단계를 줄여서 사용하는 게 좋을 것 같아요 할머니 생신 선물로 드렸는데 완전 만족하십니다 자주 병원으로 치료를 가시는데 치료를 받으시면서 피부가 많이 건조하시다고 하셔서 주름 개선과 보습을 같이 할 수 있는 제품을 고르려고 했는데 세트를 드리는 게 좋을 것 같아 드렸는데 엄청 좋아하셨어요 선물용으로 추천드립니다
33,K2xzcXZHdDBFR0JWQ1R6UFFCZXNwUT09,자극없이 순하고 좋은데 손에서 문지를때 미끌거리는 느낌이 강해요 보습은 엄청 촉촉한건 아니라고 느꼈어요 생각보다 금방 날아가는 느낌 토너가 생각보다 촉촉하지않더라고요 오히려 닦고나면 피부가 땡기는 느낌 여드름에 좋다해서 샀는데 솔직히 잘 모르겠어요
34,K3AxKzhqZjZ4YkVydXcybExPYUxqUT09,예전에 구매했을때 맘에 안들어 버렸었는데 다시 구매해봤을때 세상 잘 쓰고 있어요 첨 바를땐 좀 찹찹한 느낌인가 하다 금방 흡수되요 민감성 피부에도 문제없이 사용 가능합니다 요새 수분 앰플로 이것만 사용해요
35,K3EvU1FmSmFqK3JDZ2xvak9aeHFVQT09,딸아이가 순하고 좋다네요 재구매 의향 있어요 가격대비 좋아요
36,K3FsUVRUdkswZEZpRmxCWk5CRDVVUT09,스킨은 진 년 내내 사격절 내내 요상품만 사용해요 민감한분들에겐 짱인듯
37,K3JJNkRCUFRMM3VTb096NVNQdS9DQT09,잘받았습니다 계속사용하고 있는겁니다 스틱형 사려다가 순면패드에 시트팩처럼 하려고 구입했어요 잘사용합니다잘받았습니다 계속사용하던겁니다 가격이 다른사이트 대비 저렴한것은 아닌듯요 증정도 없고 세트로 급히 시키면서 구입한거라서 가격적인 면에서는 아쉬운 잘사용합니다
38,K3JVMHdPWjdFRjFYcHpVZGlGRmw1UT09,엄마가 구매하셨는데 이 제품이 제일 잘 맞는다거 하시네요
39,K3NHNitCb2NlR2VvUGE2TURtNFArUT09,이것만 써요 자극없이 순하고 기초제품 중에서는 수부지에게 딱 좋은 제품 같아요 텁텁하고 무겁게 발리지않으면서 수분감충전되서 넘좋아용재구매입니다 너무 촉촉하고 좋아요 계속 할인해주시면 좋겠어요
40,K3NPWkhpeDZHVUxsSmtnRWo0MUthdz09,기초화장 제일처음에 솜에듬뿍 적혀서 살살얼굴닦아주고 저는건성이라한번더적혀주면 보습에도 효과있고 촉촉하니좋아요 그담에 에센스랑 크림바르면 끝 약간트러블날때도 진정효과도있는듯해요 사춘기아이와 함께사용하려고 찾다가 발견했어요 가끔트러블날때 화장솜에적혀 올려주고 보습잘해주니 좀가라앉네요 성분도좋고 피부결정돈과 진정보습해주는 토너라 잘쓰게됩니다
41,K3R4NjVuOUtTY25ybXpYRitmQWdRdz09,아주아주 오랫동안 사용하고있어요 수분토너로 좋습니다
42,K3RRZ3VzQ0NVY0xUUEJGek4ycyt1Zz09,피부가 유달리 예민해서 피곤할때는 살짝 자극이 느껴지지만 사용하지 못할정도는 아니예요 타사 제품과 비교해볼때 이정도면 많이 순한제품이라고 생각합니다 토닦용으로 꾸준히 쓰고있는데 건성 피부에 효과좀 봤으면 좋겠네요
43,K3U5akF5YThMbjlRMmhQSmwxYWgwdz09,수분감이 많은 로션입니다 평소에 유분기가 많아서 이걸로 선택했는데 괜찮네요 환절기 건조할 때는 각질이 조금 부각되는 것 같아서 유분감 있는 크림과 번갈아가며 바르는 중이에요바른 뒤에 마무리 감도 괜찮고 추천받아서 샀는데 꽤 만족스럽습니다
44,K3Y3Tk04ZjNqZHYxMHdzcEN5eWU2dz09,수분부족형 지성인에게 딱입니당 수분 채워주고 유분 잡아주고 좋아요두배 커져서 두배 좋아요 대용량으로 오래 쓸 수 있어서 좋아요 속건조 지성에 좋아요
45,K3ZXU2JOUUtJdjh4UW9aV0lTaVJpdz09,한번 사용해 봤는데 순하고 괜찮아서 계속 사용하려고요 끈끈하지도 않고 좋아요
46,K3cwNS9mcmxiRFZEZVZ4ZHNPVGh0QT09,항상 기초 전에 닦토 하는데 티트리가 피지조절에 좋고 잘맞는거 같아서 구입해봤어요 자극적이지 않고 순해서 좋아요 이런 산뜻한 스킨 타입 좋아하거든용
47,K3dBZWVPUUdMNEhoejBzbE1tRUJsUT09,무난한 로션 너무 수분도 아니고 유분도 아니어서 복합성 피부에 좋아요 딱히 트러블도 안 올라오고 유일한 단점이라면 펌핑되는 양이 너무 많아서 조절이 힘들다는 거
48,K3gxVThpakRzanZZZlZIMkl2eDBKZz09,보습 좋고 향도 나쁘지않아서 사용하기 좋아요 자극이 적어서 좋습니다
49,K3hRcnBLR2lVTXJKQythbW4rU0NGUT09,남친 쓰라고 선물해줬는데 좋다고 해요 남자들은 미끈하고도 끈적임도 그렇다고 넘 땡기는것도싫고 향에도 민감한데 이제품은 만족해합니다남친이 싫어하면 어쩌나 햇는데 다행히 만족해서 좋앗어요 생각보다 끈적임도없는데 쫀득하구 쫀득한데 끈적임없이 뭔가 바른듯한
50,K3lOallrb1JGUXNjcUhxRkFRT3VTQT09,배송도 빠르고 항상 이 상품을 자주쓰고있어요 현재 계속 쓰고 있는 상품이에요 편하고 올인원이라 시간도 절약도 되고 좋아요지금 여태 통 쓰고있는데 괜찮은거같아요 좋아요 복합성인데 피부에 잘 맞는거같아요 나쁘지않아요
51,K3lWMnV2RjlBTjg5Q2VGbXkwQ3pQUT09,평소 트러블이 많이 생겨서 자극적이지 않고 순한 로션 쓰는데 여기에 정착 했어요
52,Ky8wZ2R5dmtKcVhjaTNOMGl4Y1ZkZz09,홍조 피부라 흡토할 순한 토너 찾고 있었는데 가격 대비 성분이 좋길래 구매해 봤어요 버블 용기에 소분해서 써보니 버블용 토너가 아니라 완벽한 버블은 아니지만 토너가 생각보다 쫀쫀한 제형이어서 어느 정도 버블이 나와 만족 저는 화장품 냉장고에 넣어 놓고 써서 그런지 시원하고 피부가 부담없이 받아들이는 느낌이었습니다 아예 물 토너는 아니고 은근히 콧물 토너인데 흡수력도 좋고 만족만족
53,Ky9LSzZKaXN5bVRQYWJxSGVDbWVpdz09,자극이 전혀 없어서 예민한 날에도 쓰기 좋은 제품인 것 같아요
54,KysyemJVa3ExNW5MYWl3WnkvRjRLQT09,민감 복합성 피부인데 자극없이 순한 것 같아요 닦토로 사용중이에요 산뜻하고 끈적임 없어서 좋아요 계절 사용해도 무방해요민감 복합성 피부인데 자극없이 순하고 잘 맞는 것 같아요 닦토용으로 구매했는데 종종 스킨팩해도 좋을 것 같아요
55,KzBmU0xOYXpzRTloN2tjYmM2UUxIQT09,믿고 쓰는 헤이네이처 어성초 피부 진정에 효과적이에용 벌써 몇번째 구매인지도 모르겠네여
56,KzFUSk1WMCs5ZElFTm5YcG4rSmptdz09,수분충전하고 스킨에 적셔서 스킨팩 할 용도로 찾다가 꾸준히 년정도 사용하고 있어요 물같이 끈적임없고 맑은 제형이고 바르고 나서 즉각 수분이 충전된 느낌이에요 실제로 트러블 올라온 뒤에 발라도 따끔거리지 않아요 화장전이 바르면 결이 정리되는 느낌이라 촉촉하고 좋습니다
57,KzJpbkhENkF4L2g4S3RTWDhUTk82Zz09,트러블 피부에 꾸준히 사용하고 있어요 저렴한 가격 좋아요
58,KzJwVUNQbDhsQUtHZFFQa3E0amxKdz09,다른 그 무엇보다 피부에 좋은 진정 성분들로 구성이 되어있는 착한 그런 토너였습니다 병풀추출물 약모밀추출물 감초뿌리추출물 헥산다이올 다이프로필렌글라이콜 프로판다이올 부틸렌글라이콜 글리세린 히아신스전초추출물 하수오전초추출물 카보머 하이드록시에틸셀룰로오스 알지닌 알란토인 다이소듐이디티에이 알바수련꽃추출물 베타인 판테놀 진짜 피부 진정에 도움이 되는 성분들과 기본적인 피부 보습에 필요한 성분들로 구성이 되어있어서 깔끔하고 산뜻하게 사용하기 좋은 그런 토너였어요 진정 필요시 토너로만 번의 레이어링을 해줘도 열감이 내여가줜서 좋았어요 여기에 동일 라인의 패드를 사용하면 더욱 진정효과는 좋았습니다 기존의 한율 쑥워터에센스를 잘 써왔었는데 지금은 그 상품이 없어졌네요 아쉬워하던 찰나에 쑥시카 성분이 훨씬 업그레이드 되어 새로 출시가 되어서 구매를 해보았어요 올리브영에서 구매하는 것이 가장 저렴하고 또 용량도 추가증정이라서 오늘드림 픽업서비스로 바로 가져왔어요 에 시카를 더한 신선한 기능의 토너였어요 민감한 피부 상태에서도 일단은 피부의 결이 어느정도 정리정돈이 되어야지 다음 진정용 스킨케어로 넘어가더라도 흡수가 되어서 효과를 볼수가있는데 보편적으로 민감해진 피부상태에 닥토라던지 물리적인 자극으로 결케어를 하는 것은 무리인데 에스트라 에이시카 토너는 화확적으로 결케어가 가능하게끔 나온 제품이라서 그냥 흡토로서 피부에 두들겨서 흡수시켜주기만 하면 되는 그런 제품이었어요 그리고 피부장벽과 보습에 좋은 성분들과 같이 배합이 되어있어서 좋았습니다
59,KzNRNTJiUlZIaElkR0R6YXhSL2F6Zz09,피부가 예민해 아무거나 사용하지 못하는데 자극이 없고 순하면서 겨울에 사용하기 무척 좋습니다
60,KzNTd0liVDFoVjNVQVBvNDdBOFNkQT09,사용해보니 피부 보습 진정에 매우좋구요 부작용같은건 없는것 같습니다 무난하게 사용하기 좋네요
61,KzZ4QjBrLytJN1FucVE2VkdTd1ExQT09,순하고 자극없어서 세안후 토너겸 스킨으로 가볍게 닦아내기 좋아요
62,KzZ6RGdDamZvclpMam5UT0F3c3NKdz09,스킨이랑 조합 맞추면 좋을 것 같아서 같이 구매했어요 일단 세럼 종류만 사용하다가 로션을 써본게 처음인데 약간 유분막 같이 뭔가 답답함이 있는데 또 이게 보습에 도움을 주는 것 같아서 기분나쁜 느낌은 아니에요 토너랑 같이 샀으니 쓰긴하는데 지성분들에게는 비추합니다
63,KzZSV1lDOTg0NkhyRm9Rc3poQWFuUT09,저희는 가족이 다 모찌토너를 사용해서 오특 행사할때마다 몇개씩 사서 쟁여둬요 웬만한 피부에 다 잘 맞는거 같고 대용량이라 용도도 다양하게 사용하고 있습니다 토너로 사용하는건 기본이고 공용기에 넣어서 미스트로도 쓰고 화장솜에 적셔 스킨팩으로도 사용하고 있습니다 몇년째 모찌토너만 사용하고 있는데 절대 단종 시키지 말아주세요 몇년째 애용하고있는 토너라 오특 행사하는김에 쟁여놨어요 용량이커서 닦토 미스트 팩 여러용도로 사용하고있습니다 묽은타입에 향도부담스럽지않아서 사용하기 참 좋아요 요새 계절바뀌면서 피부가 심상치않은데 얇은화장솜에 적셔 얹어두면 금방진정되더라구요 보습감도있어서 촉촉하구요 엄마도 같이 사용중인데 온가족 사용해도 좋을거같아요 용량 샘플도같이주니 여행용으로 사용하면 딱이에요 만원도 안하는 착한가격에 완전 득템 토니모리 앞으로도 이런 행사 많이 해주세요 토니모리 처음 백젤아이라이너를 시작으로 애용한지 년정도 된거 같아요 색조만 좋은게 아니라 은근 기초도 좋아서 토너맛집으로 유명하더라구요 특히 이 모찌토너는 가격부터 용량까지 어디하나 빠지지 않는 제품이더라구요 막 사용하기도 부담 없어서 저는 떨어지기 전에 쟁여두고 쓰는 스타일인데 월 오특에 할인도 받고 용량까지 추가로 줘서 완전 득템했습니다 지금같이 계절 넘어가는 시기에는 화장솜에 묻혀 팩으로 사용하면 더욱 보습 진정이 잘되는거 같고 미스트 용기에 따로 넣어 미스트처럼 자주 뿌려주기도 해요 여러모로 사용할수 있어 진짜 좋더라구요 가끔 올라오는 좁쌀 여드름으로 고생인데 올라온곳에 팩 처럼 올려주면 그 다음날 진정되있더라구요 완전 지성피부 빼고는 모두 사용할수 있는 제품인거 같아요 좋습니다 굳굳
64,KzlYTnQ0UFBhRmpPUzBQQ1JWNTFBdz09,향이 과하지 않고 촉촉해서 좋습니다 자극없이 매일 쓰기 좋아요남자친구가 늘 사용하는 제품이에요 보습력이 좋고 사용감이 촉촉합니다 촉촉하고 자극없어서 좋아요 향도 과하지 않아서 좋습니다
65,KzlyQ1JES1ZqZmxSZlZBeXZWRFhkdz09,이 시리즈 매번 구매하는데 나쁘지 않은 것 같아요 그냥 피부결 정리 용도로 사용하면 딱입니다 이번에도 잘 썼어요매번 같은 라인으로 구매해요 양도 많아서 닦아내는 용도로 자주 씁니다
66,L01yZVlCdXJ6UHN5eFduWkVkRXFvUT09,생각보다 미백이 있고 좀 리치한 느낌 끈끈 있긴한데 금방 스며들어요 겨울에 쓰기 좋아요
67,L0FmY3lHcUJGbm1QazB4a1lkS3Ardz09,닦토로 쓰고 있는 제품입니다 그만큼 순하고 보습도 있습니다사은품으로 왔던 걸 써보고 너무무무 좋아서 바로 구매했어요 엄청 사악한 가격이지만 그래도 수분팩할때 이게 역대급 좋아요
68,L0Job2NBWm5pazBsUTVRUERrcGkwQT09,진짜 순해요 아무생각없이 기본으로 바르기에 좋아요 피부타입에도 별로 관계없는 제품 가성비도 좋고 순하고 기본만 딱 하는 제품이라서 막 쓰지 좋아요
69,L0Q4Z2tYY3AzSlkxZGl3dEY0bDV6QT09,남자친구 인생 토너에요 지성피부이신 남성분들에게 추천한대용올영체험단으로 사용해봤다가 남자친구가 엄청 맘에 들어해서 벌써 공병이 병째네요 용량이 많은건 아니라 미리 쟁여놨어용
70,L0R1MGRsdVVoeDN0cjQ3WUhsM0ZZQT09,토너 뭐 사지 하다가 그냥 대용량으로 가성비 좋은 거 샀는데 무난무난하게 쓸만해요 기대없이 산 건데 꽤나 잘 쓰는 중 진짜 딱 무난무난하고 가성비 완전 대박인듯요 근데 완전 건성이신 분들은 건조하게 느낄 것 같아요 단점이 있다면 용기가 적당량을 덜기 힘들달까요 토너 나오는 구멍이 좀 넓어서 살짝만 기울여도 바로 나와요 하하 그래서 휙 휙 돌려주고 용기 주변에 토너 묻어서 미끌미끌한 부분을 주기적으로 닦아주고 있답니다 너무 가성비가 좋은 탓에 용기는 좋은 걸로 바꾸지 못 한걸까 근데 정말 토너 나오는 구멍 조금 바꾸면 더 좋을 듯 합니다
71,L0RuNktDaDlJUjRZSmpoQlR3eElpUT09,밀크는 계속 사용했는데 로션은 처음 사용하는데 겨울이라 걑이 사용하니 보습력이 더 좋네요
72,L0VEZENOb050RWI0SDZpb3dZcy9VUT09,용량 좋습니다 순한거 같습니다 끈끈하지 않고 잘 스며 들어서 화장솜으로 닦드시 사용중
73,L0ZESG55T25ydUVnY1Z1cHJwd3dTQT09,예전에 사용했던 제품인데 다시 생각나서 구매했어요 패드랑 같이 사용중이라 쓰는 양이 적어서 대용량으로 사면 좀 부담스러웠는데 적은 용량도 판매해서 좋아요 제품은 화장솜에 묻혀서 닦토로 써도 자극없고 순한 편이라 피부가 쉽게 붉어지는 편인데도 잘 사용하고 있어요 많이 건조하다싶은날에는 그냥 손으로 바르고 있는데 흡수도 빠르고 좋아요 무향인것도 장점이에요
74,L1BFdTZCU1Zid2RSMFM5eG02UFRVZz09,로션바르는것조차 귀찮아하는 신랑을 위해 올인원구매했어요 상큼한 레몬향이 기분좋게나고 끈적임없이 부드럽게 잘발려서 신랑도 마음에 든다고하네요 벌써 피부가 뽀얘진 느낌이예요 사춘기 딸아이 얼굴에 자꾸 트러블이 생겨 구매했어요 세수 후 닦토용으로 쓰기도 하지만 솜에 묻혀 트러블부위에 올려두면 붉은기도 사라지면서 트러블부위가 금새 가라앉으니 얼굴팩으로 사용하고 좋아요 피부에 울긋불긋 트러블이 자꾸생겨 스트레스였는데 티트리성분이 피부진정에 효과적이라는 글을보고 구매하게 되었어요 다른제품보다 배더 농축된 세대 티트리성분이라그런지 배송받고 며칠 안써봤는데도 눈에띄게 울긋불긋하던 부분들이 많이 가라앉은게 보이네요 자극적이지도 않고 순해서 넘 만족스러워요
75,L1BNc3FRWi9idmFoYXZ3cGU3aDVkdz09,아주순하고 히알루론산 잘 맞는 사람은 조을거같아오 몇통째 쓰고있습니다
